Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Unit,Y2022,Y2022F
3,'008,Albania,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,kg CO2eq/kg,0.1635,E
3,'008,Albania,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),kt,112.9555,E
3,'008,Albania,1718,'F1718,Cereals excluding rice,5510,Production,t,690850,E
3,'008,Albania,27,'0113,Rice,71761,Emissions intensity,kg CO2eq/kg,,
3,'008,Albania,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),kt,11.8103,E
3,'008,Albania,27,'0113,Rice,5510,Production,t,0,M
3,'008,Albania,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,2.4443,E
3,'008,Albania,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,72.6858,E
3,'008,Albania,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",5510,Production,t,29736.3,A
3,'008,Albania,882,'02211,Raw milk of cattle,71761,Emissions intensity,kg CO2eq/kg,1.4853,E
3,'008,Albania,882,'02211,Raw milk of cattle,723113,Emissions (CO2eq) (AR5),kt,1262.0433,E
3,'008,Albania,882,'02211,Raw milk of cattle,5510,Production,t,849690.26,A
3,'008,Albania,1017,'21116,"Meat of goat, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,4.1721,E
3,'008,Albania,1017,'21116,"Meat of goat, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,32.4216,E
3,'008,Albania,1017,'21116,"Meat of goat, fresh or chilled",5510,Production,t,7771,A
3,'008,Albania,1020,'02292,Raw milk of goats,71761,Emissions intensity,kg CO2eq/kg,1.9027,E
3,'008,Albania,1020,'02292,Raw milk of goats,723113,Emissions (CO2eq) (AR5),kt,149.3187,E
3,'008,Albania,1020,'02292,Raw milk of goats,5510,Production,t,78478.79,A
3,'008,Albania,947,'21112,"Meat of buffalo, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,0,E
3,'008,Albania,951,'02212,Raw milk of buffalo,71761,Emissions intensity,kg CO2eq/kg,,
3,'008,Albania,951,'02212,Raw milk of buffalo,723113,Emissions (CO2eq) (AR5),kt,,
3,'008,Albania,951,'02212,Raw milk of buffalo,5510,Production,t,,
3,'008,Albania,977,'21115,"Meat of sheep, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,5.3093,E
3,'008,Albania,977,'21115,"Meat of sheep, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,90.86,E
3,'008,Albania,977,'21115,"Meat of sheep, fresh or chilled",5510,Production,t,17113.43,A
3,'008,Albania,982,'02291,Raw milk of sheep,71761,Emissions intensity,kg CO2eq/kg,4.9641,E
3,'008,Albania,982,'02291,Raw milk of sheep,723113,Emissions (CO2eq) (AR5),kt,352.9646,E
3,'008,Albania,982,'02291,Raw milk of sheep,5510,Production,t,71103.99,A
3,'008,Albania,1058,'21121,"Meat of chickens, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,0,E
3,'008,Albania,1058,'21121,"Meat of chickens, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,0,E
3,'008,Albania,1058,'21121,"Meat of chickens, fresh or chilled",5510,Production,t,16335.57,A
3,'008,Albania,1062,'0231,"Hen eggs in shell, fresh",71761,Emissions intensity,kg CO2eq/kg,1.0422,E
3,'008,Albania,1062,'0231,"Hen eggs in shell, fresh",723113,Emissions (CO2eq) (AR5),kt,50.9842,E
3,'008,Albania,1062,'0231,"Hen eggs in shell, fresh",5510,Production,t,48918,A
3,'008,Albania,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,4.9864,E
3,'008,Albania,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,42.3886,E
3,'008,Albania,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",5510,Production,t,8500.8,A
4,'012,Algeria,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,kg CO2eq/kg,0.0864,E
4,'012,Algeria,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),kt,407.4333,E
4,'012,Algeria,1718,'F1718,Cereals excluding rice,5510,Production,t,4717336.36,E
4,'012,Algeria,27,'0113,Rice,71761,Emissions intensity,kg CO2eq/kg,119.6753,E
4,'012,Algeria,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),kt,36.799,E
4,'012,Algeria,27,'0113,Rice,5510,Production,t,307.49,E
4,'012,Algeria,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,6.964,E
4,'012,Algeria,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,1031.4863,E
4,'012,Algeria,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",5510,Production,t,148116.09,I
4,'012,Algeria,882,'02211,Raw milk of cattle,71761,Emissions intensity,kg CO2eq/kg,0.7248,E
4,'012,Algeria,882,'02211,Raw milk of cattle,723113,Emissions (CO2eq) (AR5),kt,1764.1603,E
4,'012,Algeria,882,'02211,Raw milk of cattle,5510,Production,t,2433986.67,E
4,'012,Algeria,1017,'21116,"Meat of goat, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,28.1468,E
4,'012,Algeria,1017,'21116,"Meat of goat, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,541.6527,E
4,'012,Algeria,1017,'21116,"Meat of goat, fresh or chilled",5510,Production,t,19243.84,I
4,'012,Algeria,1020,'02292,Raw milk of goats,71761,Emissions intensity,kg CO2eq/kg,2.0392,E
4,'012,Algeria,1020,'02292,Raw milk of goats,723113,Emissions (CO2eq) (AR5),kt,661.6371,E
4,'012,Algeria,1020,'02292,Raw milk of goats,5510,Production,t,324463.67,E
4,'012,Algeria,977,'21115,"Meat of sheep, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,7.6402,E
4,'012,Algeria,977,'21115,"Meat of sheep, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,2635.3755,E
4,'012,Algeria,977,'21115,"Meat of sheep, fresh or chilled",5510,Production,t,344937.26,I
4,'012,Algeria,982,'02291,Raw milk of sheep,71761,Emissions intensity,kg CO2eq/kg,7.538,E
4,'012,Algeria,982,'02291,Raw milk of sheep,723113,Emissions (CO2eq) (AR5),kt,4124.3947,E
4,'012,Algeria,982,'02291,Raw milk of sheep,5510,Production,t,547145.33,E
4,'012,Algeria,1130,'02293,Raw milk of camel,71761,Emissions intensity,kg CO2eq/kg,10.1812,E
4,'012,Algeria,1130,'02293,Raw milk of camel,723113,Emissions (CO2eq) (AR5),kt,157.992,E
4,'012,Algeria,1130,'02293,Raw milk of camel,5510,Production,t,15518.05,I
4,'012,Algeria,1058,'21121,"Meat of chickens, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,1.7421,E
4,'012,Algeria,1058,'21121,"Meat of chickens, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,478.8449,E
4,'012,Algeria,1058,'21121,"Meat of chickens, fresh or chilled",5510,Production,t,274862.81,I
4,'012,Algeria,1062,'0231,"Hen eggs in shell, fresh",71761,Emissions intensity,kg CO2eq/kg,0.4508,E
4,'012,Algeria,1062,'0231,"Hen eggs in shell, fresh",723113,Emissions (CO2eq) (AR5),kt,140.6225,E
4,'012,Algeria,1062,'0231,"Hen eggs in shell, fresh",5510,Production,t,311930.12,E
4,'012,Algeria,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,11.2808,E
4,'012,Algeria,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,1.2172,E
4,'012,Algeria,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",5510,Production,t,107.9,I
5,'016,American Samoa,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,0.207,E
5,'016,American Samoa,882,'02211,Raw milk of cattle,723113,Emissions (CO2eq) (AR5),kt,0.1077,E
5,'016,American Samoa,1058,'21121,"Meat of chickens, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,0.0963,E
5,'016,American Samoa,1062,'0231,"Hen eggs in shell, fresh",723113,Emissions (CO2eq) (AR5),kt,0.0321,E
5,'016,American Samoa,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,5.1298,E
7,'024,Angola,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,kg CO2eq/kg,0.1724,E
7,'024,Angola,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),kt,545.5147,E
7,'024,Angola,1718,'F1718,Cereals excluding rice,5510,Production,t,3163396.08,E
7,'024,Angola,27,'0113,Rice,71761,Emissions intensity,kg CO2eq/kg,7.5454,E
7,'024,Angola,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),kt,79.7025,E
7,'024,Angola,27,'0113,Rice,5510,Production,t,10563,A
7,'024,Angola,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,57.521,E
7,'024,Angola,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,6204.1925,E
7,'024,Angola,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",5510,Production,t,107859.65,I
7,'024,Angola,882,'02211,Raw milk of cattle,71761,Emissions intensity,kg CO2eq/kg,3.7836,E
7,'024,Angola,882,'02211,Raw milk of cattle,723113,Emissions (CO2eq) (AR5),kt,847.1483,E
7,'024,Angola,882,'02211,Raw milk of cattle,5510,Production,t,223902.03,I
7,'024,Angola,1017,'21116,"Meat of goat, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,52.9825,E
7,'024,Angola,1017,'21116,"Meat of goat, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,1063.0506,E
7,'024,Angola,1017,'21116,"Meat of goat, fresh or chilled",5510,Production,t,20064.2,I
7,'024,Angola,977,'21115,"Meat of sheep, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,54.6081,E
7,'024,Angola,977,'21115,"Meat of sheep, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,258.6803,E
7,'024,Angola,977,'21115,"Meat of sheep, fresh or chilled",5510,Production,t,4737.03,I
7,'024,Angola,1058,'21121,"Meat of chickens, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,0.4867,E
7,'024,Angola,1058,'21121,"Meat of chickens, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,28.4883,E
7,'024,Angola,1058,'21121,"Meat of chickens, fresh or chilled",5510,Production,t,58532.79,I
7,'024,Angola,1062,'0231,"Hen eggs in shell, fresh",71761,Emissions intensity,kg CO2eq/kg,1.6005,E
7,'024,Angola,1062,'0231,"Hen eggs in shell, fresh",723113,Emissions (CO2eq) (AR5),kt,228.4908,E
7,'024,Angola,1062,'0231,"Hen eggs in shell, fresh",5510,Production,t,142758.68,E
7,'024,Angola,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,5.3826,E
7,'024,Angola,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,910.708,E
7,'024,Angola,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",5510,Production,t,169195.83,I
8,'028,Antigua and Barbuda,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,kg CO2eq/kg,0.1365,E
8,'028,Antigua and Barbuda,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),kt,0.0021,E
8,'028,Antigua and Barbuda,1718,'F1718,Cereals excluding rice,5510,Production,t,15.74,E
8,'028,Antigua and Barbuda,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,37.8079,E
8,'028,Antigua and Barbuda,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,2.3698,E
8,'028,Antigua and Barbuda,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",5510,Production,t,62.68,A
8,'028,Antigua and Barbuda,882,'02211,Raw milk of cattle,71761,Emissions intensity,kg CO2eq/kg,2.675,E
8,'028,Antigua and Barbuda,882,'02211,Raw milk of cattle,723113,Emissions (CO2eq) (AR5),kt,5.2701,E
8,'028,Antigua and Barbuda,882,'02211,Raw milk of cattle,5510,Production,t,1970.14,I
8,'028,Antigua and Barbuda,1017,'21116,"Meat of goat, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,1937.5285,E
8,'028,Antigua and Barbuda,1017,'21116,"Meat of goat, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,5.0957,E
8,'028,Antigua and Barbuda,1017,'21116,"Meat of goat, fresh or chilled",5510,Production,t,2.63,A
8,'028,Antigua and Barbuda,1020,'02292,Raw milk of goats,723113,Emissions (CO2eq) (AR5),kt,,
8,'028,Antigua and Barbuda,1020,'02292,Raw milk of goats,5510,Production,t,,
8,'028,Antigua and Barbuda,977,'21115,"Meat of sheep, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,493.8292,E
8,'028,Antigua and Barbuda,977,'21115,"Meat of sheep, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,1.7926,E
8,'028,Antigua and Barbuda,977,'21115,"Meat of sheep, fresh or chilled",5510,Production,t,3.63,A
8,'028,Antigua and Barbuda,1058,'21121,"Meat of chickens, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,0,E
8,'028,Antigua and Barbuda,1058,'21121,"Meat of chickens, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,0,E
8,'028,Antigua and Barbuda,1058,'21121,"Meat of chickens, fresh or chilled",5510,Production,t,88.31,I
8,'028,Antigua and Barbuda,1062,'0231,"Hen eggs in shell, fresh",71761,Emissions intensity,kg CO2eq/kg,0.7547,E
8,'028,Antigua and Barbuda,1062,'0231,"Hen eggs in shell, fresh",723113,Emissions (CO2eq) (AR5),kt,0.8581,E
8,'028,Antigua and Barbuda,1062,'0231,"Hen eggs in shell, fresh",5510,Production,t,1137.07,A
8,'028,Antigua and Barbuda,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,23.8519,E
8,'028,Antigua and Barbuda,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,1.3016,E
8,'028,Antigua and Barbuda,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",5510,Production,t,54.57,A
9,'032,Argentina,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,kg CO2eq/kg,0.1283,E
9,'032,Argentina,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),kt,11585.7617,E
9,'032,Argentina,1718,'F1718,Cereals excluding rice,5510,Production,t,90308520,E
9,'032,Argentina,27,'0113,Rice,71761,Emissions intensity,kg CO2eq/kg,1.3946,E
9,'032,Argentina,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),kt,1704.8252,E
9,'032,Argentina,27,'0113,Rice,5510,Production,t,1222426,A
9,'032,Argentina,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,33.6256,E
9,'032,Argentina,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,105352.5549,E
9,'032,Argentina,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",5510,Production,t,3133103,A
9,'032,Argentina,882,'02211,Raw milk of cattle,71761,Emissions intensity,kg CO2eq/kg,0.3313,E
9,'032,Argentina,882,'02211,Raw milk of cattle,723113,Emissions (CO2eq) (AR5),kt,3943.6686,E
9,'032,Argentina,882,'02211,Raw milk of cattle,5510,Production,t,11904142,A
9,'032,Argentina,1017,'21116,"Meat of goat, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,160.6844,E
9,'032,Argentina,1017,'21116,"Meat of goat, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,964.8102,E
9,'032,Argentina,1017,'21116,"Meat of goat, fresh or chilled",5510,Production,t,6004.38,I
9,'032,Argentina,977,'21115,"Meat of sheep, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,65.4089,E
9,'032,Argentina,977,'21115,"Meat of sheep, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,2677.8032,E
9,'032,Argentina,977,'21115,"Meat of sheep, fresh or chilled",5510,Production,t,40939.41,I
9,'032,Argentina,1058,'21121,"Meat of chickens, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,0.1045,E
9,'032,Argentina,1058,'21121,"Meat of chickens, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,242.3588,E
9,'032,Argentina,1058,'21121,"Meat of chickens, fresh or chilled",5510,Production,t,2319000,A
9,'032,Argentina,1062,'0231,"Hen eggs in shell, fresh",71761,Emissions intensity,kg CO2eq/kg,0.325,E
9,'032,Argentina,1062,'0231,"Hen eggs in shell, fresh",723113,Emissions (CO2eq) (AR5),kt,273.299,E
9,'032,Argentina,1062,'0231,"Hen eggs in shell, fresh",5510,Production,t,841037.94,E
9,'032,Argentina,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,1.6306,E
9,'032,Argentina,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,1179.5591,E
9,'032,Argentina,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",5510,Production,t,723380,A
1,'051,Armenia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,kg CO2eq/kg,0.3056,E
1,'051,Armenia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),kt,71.0298,E
1,'051,Armenia,1718,'F1718,Cereals excluding rice,5510,Production,t,232391.2,E
1,'051,Armenia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),kt,0,E
1,'051,Armenia,27,'0113,Rice,5510,Production,t,0,M
1,'051,Armenia,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,6.4667,E
1,'051,Armenia,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,425.5065,E
1,'051,Armenia,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",5510,Production,t,65800,A
1,'051,Armenia,882,'02211,Raw milk of cattle,71761,Emissions intensity,kg CO2eq/kg,0.8087,E
1,'051,Armenia,882,'02211,Raw milk of cattle,723113,Emissions (CO2eq) (AR5),kt,490.9078,E
1,'051,Armenia,882,'02211,Raw milk of cattle,5510,Production,t,607000,A
1,'051,Armenia,1017,'21116,"Meat of goat, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,47.3421,E
1,'051,Armenia,1017,'21116,"Meat of goat, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,1.3308,E
1,'051,Armenia,1017,'21116,"Meat of goat, fresh or chilled",5510,Production,t,28.11,I
1,'051,Armenia,1020,'02292,Raw milk of goats,71761,Emissions intensity,kg CO2eq/kg,1.0187,E
1,'051,Armenia,1020,'02292,Raw milk of goats,723113,Emissions (CO2eq) (AR5),kt,3.769,E
1,'051,Armenia,1020,'02292,Raw milk of goats,5510,Production,t,3700,E
1,'051,Armenia,947,'21112,"Meat of buffalo, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,1.4132,E
1,'051,Armenia,977,'21115,"Meat of sheep, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,3.945,E
1,'051,Armenia,977,'21115,"Meat of sheep, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,42.6065,E
1,'051,Armenia,977,'21115,"Meat of sheep, fresh or chilled",5510,Production,t,10800,A
1,'051,Armenia,982,'02291,Raw milk of sheep,71761,Emissions intensity,kg CO2eq/kg,2.4214,E
1,'051,Armenia,982,'02291,Raw milk of sheep,723113,Emissions (CO2eq) (AR5),kt,105.2583,E
1,'051,Armenia,982,'02291,Raw milk of sheep,5510,Production,t,43470,E
1,'051,Armenia,1058,'21121,"Meat of chickens, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,0.6384,E
1,'051,Armenia,1058,'21121,"Meat of chickens, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,7.5965,E
1,'051,Armenia,1058,'21121,"Meat of chickens, fresh or chilled",5510,Production,t,11900,A
1,'051,Armenia,1062,'0231,"Hen eggs in shell, fresh",71761,Emissions intensity,kg CO2eq/kg,0.3637,E
1,'051,Armenia,1062,'0231,"Hen eggs in shell, fresh",723113,Emissions (CO2eq) (AR5),kt,14.9824,E
1,'051,Armenia,1062,'0231,"Hen eggs in shell, fresh",5510,Production,t,41200,A
1,'051,Armenia,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,2.618,E
1,'051,Armenia,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,39.0081,E
1,'051,Armenia,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",5510,Production,t,14900,A
22,'533,Aruba,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),kt,0.0007,E
22,'533,Aruba,1058,'21121,"Meat of chickens, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,0,E
22,'533,Aruba,1062,'0231,"Hen eggs in shell, fresh",723113,Emissions (CO2eq) (AR5),kt,0,E
22,'533,Aruba,1035,'21113.01,"Meat of pig with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,,
187,'654,"Ascension, Saint Helena and Tristan da Cunha",867,'21111.01,"Meat of cattle with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,0.716,E
187,'654,"Ascension, Saint Helena and Tristan da Cunha",882,'02211,Raw milk of cattle,723113,Emissions (CO2eq) (AR5),kt,0.1986,E
187,'654,"Ascension, Saint Helena and Tristan da Cunha",1058,'21121,"Meat of chickens, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,0.0293,E
187,'654,"Ascension, Saint Helena and Tristan da Cunha",1062,'0231,"Hen eggs in shell, fresh",723113,Emissions (CO2eq) (AR5),kt,0,E
187,'654,"Ascension, Saint Helena and Tristan da Cunha",1035,'21113.01,"Meat of pig with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,0.1661,E
10,'036,Australia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,kg CO2eq/kg,0.2007,E
10,'036,Australia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),kt,11136.2982,E
10,'036,Australia,1718,'F1718,Cereals excluding rice,5510,Production,t,55493234.44,E
10,'036,Australia,27,'0113,Rice,71761,Emissions intensity,kg CO2eq/kg,0.8618,E
10,'036,Australia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),kt,595.9012,E
10,'036,Australia,27,'0113,Rice,5510,Production,t,691444.48,A
10,'036,Australia,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,28.9843,E
10,'036,Australia,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,54435.0534,E
10,'036,Australia,867,'21111.01,"Meat of cattle with the bone, fresh or chilled",5510,Production,t,1878088,A
10,'036,Australia,882,'02211,Raw milk of cattle,71761,Emissions intensity,kg CO2eq/kg,0.6376,E
10,'036,Australia,882,'02211,Raw milk of cattle,723113,Emissions (CO2eq) (AR5),kt,5387.5271,E
10,'036,Australia,882,'02211,Raw milk of cattle,5510,Production,t,8450000,A
10,'036,Australia,1017,'21116,"Meat of goat, fresh or chilled",71761,Emissions intensity,kg CO2eq/kg,37.1703,E
10,'036,Australia,1017,'21116,"Meat of goat, fresh or chilled",723113,Emissions (CO2eq) (AR5),kt,1057.9786,E
